"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.484253714E2,-1.735796221E-2,1.795651205E-2,9.977236748E0
2.484273816E2,-3.651157767E-2,2.274491638E-2,1.001554394E1
2.484293919E2,-5.087678507E-2,2.753331885E-2,9.967659950E0
2.484314022E2,-4.608838260E-2,3.232172132E-2,9.948506355E0
2.484334124E2,1.137245819E-2,6.105214357E-2,9.914987564E0
2.484354227E2,5.446808785E-2,4.668693244E-2,9.862315178E0
2.484374329E2,6.404489279E-2,3.232172132E-2,9.876680374E0
2.484394432E2,5.925649032E-2,3.232172132E-2,9.900622368E0
2.484414535E2,3.531447425E-2,2.753331885E-2,9.948506355E0
2.484434637E2,1.795651275E-3,1.316810958E-2,9.967659950E0
2.484454740E2,-2.693476900E-2,3.711012751E-2,9.962871552E0
2.484474842E2,-1.735796221E-2,3.232172132E-2,9.943717957E0
2.484494945E2,-2.992752008E-3,2.753331885E-2,9.886257172E0
2.484515048E2,3.531447425E-2,3.711012751E-2,9.891045570E0
2.484535150E2,2.094926499E-2,3.711012751E-2,9.871891975E0
2.484555253E2,3.052607179E-2,3.232172132E-2,9.919775963E0
2.484575355E2,3.052607179E-2,2.274491638E-2,9.958083153E0
2.484595458E2,-7.781155407E-3,2.753331885E-2,9.972448349E0
2.484615561E2,-2.992752008E-3,2.753331885E-2,9.991601944E0
2.484635663E2,-2.214636654E-2,1.795651205E-2,9.967659950E0
2.484655766E2,-2.992752008E-3,3.711012751E-2,9.900622368E0
2.484675868E2,2.094926499E-2,3.711012751E-2,9.891045570E0
2.484695971E2,3.531447425E-2,5.626374111E-2,9.886257172E0
2.484716074E2,5.446808785E-2,4.668693244E-2,9.876680374E0
2.484736176E2,3.052607179E-2,4.668693244E-2,9.929352760E0
2.484756279E2,1.137245819E-2,1.795651205E-2,9.962871552E0
2.484776381E2,-2.992752008E-3,3.711012751E-2,9.972448349E0
2.484796484E2,-2.693476900E-2,3.232172132E-2,9.943717957E0
2.484816587E2,-2.992752008E-3,1.795651205E-2,9.938929558E0
2.484836689E2,1.137245819E-2,3.711012751E-2,9.910199165E0
2.484856792E2,2.094926499E-2,4.189852998E-2,9.895833969E0
2.484876894E2,3.052607179E-2,1.795651205E-2,9.891045570E0
2.484896997E2,2.573766746E-2,2.274491638E-2,9.910199165E0
2.484917100E2,6.584054790E-3,2.274491638E-2,9.943717957E0
2.484937202E2,-2.992752008E-3,5.147533491E-2,9.943717957E0
2.484957305E2,-3.172317147E-2,4.668693244E-2,9.967659950E0
2.484977408E2,-7.781155407E-3,5.147533491E-2,9.972448349E0
2.484997510E2,1.137245819E-2,4.189852998E-2,9.929352760E0
2.485017613E2,-2.992752008E-3,3.711012751E-2,9.914987564E0
2.485037715E2,3.052607179E-2,1.795651205E-2,9.938929558E0
2.485057818E2,3.531447425E-2,1.795651205E-2,9.910199165E0
2.485077921E2,3.531447425E-2,2.753331885E-2,9.919775963E0
2.485098023E2,6.584054790E-3,2.753331885E-2,9.938929558E0
2.485118126E2,6.584054790E-3,1.795651205E-2,9.943717957E0
2.485138228E2,-1.256955881E-2,3.711012751E-2,9.938929558E0
2.485158331E2,2.094926499E-2,4.189852998E-2,9.924564362E0
2.485178434E2,1.137245819E-2,2.753331885E-2,9.924564362E0
2.485198536E2,3.052607179E-2,3.232172132E-2,9.919775963E0
2.485218639E2,3.052607179E-2,2.274491638E-2,9.914987564E0
