"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
6.261998620E-1,2.033690890E-2,8.129321970E-3,3.112026155E-1,9.500911832E-1,1.776694012E2,3.627593847E1,-1.598208126E-1,1.774951624E2
6.311998620E-1,1.927374821E-2,7.269392256E-3,3.110035956E-1,9.501854777E-1,1.777912544E2,3.624955628E1,-1.046297099E-1,1.776416727E2
6.361998620E-1,1.798127312E-2,6.562401075E-3,3.106849790E-1,9.503201842E-1,1.779393868E2,3.620931920E1,-7.446972188E-2,1.778076927E2
6.411998620E-1,1.727722268E-2,6.200923119E-3,3.101825714E-1,9.504997730E-1,1.780200776E2,3.614789242E1,-6.129304933E-2,1.778972972E2
6.461998620E-1,1.658568571E-2,6.032602862E-3,3.093942106E-1,9.507700801E-1,1.780993333E2,3.605248228E1,-6.922514060E-2,1.779786854E2
6.511998620E-1,1.662238761E-2,6.134043448E-3,3.083892763E-1,9.510952234E-1,1.780951270E2,3.593164410E1,-8.111862850E-2,1.779711720E2
6.561998620E-1,1.624110608E-2,5.947387312E-3,3.072718382E-1,9.514645934E-1,1.781388245E2,3.579665026E1,-7.658086608E-2,1.780194271E2
6.611998620E-1,1.632183683E-2,5.855563097E-3,3.059765697E-1,9.518811107E-1,1.781295722E2,3.564054236E1,-6.642877141E-2,1.780139455E2
6.661998620E-1,1.614361463E-2,5.743248854E-3,3.044327497E-1,9.523797035E-1,1.781499977E2,3.545454724E1,-6.361077860E-2,1.780374312E2
6.711998620E-1,1.421385268E-2,5.212893244E-3,3.026700318E-1,9.529751539E-1,1.783711576E2,3.524140948E1,-7.627795089E-2,1.782667390E2
6.761998620E-1,1.447881957E-2,5.508749746E-3,3.007903397E-1,9.535644650E-1,1.783407915E2,3.501608674E1,-1.028871120E-1,1.782277318E2
6.811998620E-1,1.327138030E-2,5.297750700E-3,2.989683151E-1,9.541560411E-1,1.784791672E2,3.479673781E1,-1.245793003E-1,1.783672090E2
6.861998620E-1,1.393335836E-2,5.328871775E-3,2.973721623E-1,9.546450973E-1,1.784033031E2,3.460525676E1,-1.081502495E-1,1.782939268E2
6.911998620E-1,1.275607908E-2,4.420238547E-3,2.961524129E-1,9.550452828E-1,1.785382214E2,3.445723242E1,-5.085395009E-2,1.784537771E2
6.961998620E-1,1.311565125E-2,3.679273883E-3,2.952721715E-1,9.553160667E-1,1.784970140E2,3.435044516E1,4.100285379E-2,1.784395304E2
7.011998620E-1,1.133800077E-2,2.153054578E-3,2.946318984E-1,9.555411339E-1,1.787007330E2,3.427159785E1,1.470445631E-1,1.786857118E2
7.061998620E-1,1.108194716E-2,1.214755583E-3,2.941360176E-1,9.556985497E-1,1.787300764E2,3.421103129E1,2.404893879E-1,1.787453054E2
7.111998620E-1,9.247847532E-3,9.113333363E-5,2.936981916E-1,9.558534622E-1,1.789402596E2,3.415781778E1,3.012586989E-1,1.789839235E2
7.161998620E-1,8.878705033E-3,-1.868971885E-4,2.932637930E-1,9.559903145E-1,1.789825620E2,3.410560898E1,3.188497500E-1,1.790335719E2
7.211998620E-1,7.293701343E-3,-4.260236456E-4,2.928183973E-1,9.561401606E-1,1.791641960E2,3.405247047E1,2.914154124E-1,1.792151216E2
7.261998620E-1,7.419062578E-3,1.417967433E-4,2.923583388E-1,9.562800527E-1,1.791498303E2,3.399770000E1,2.330142598E-1,1.791822221E2
7.311998620E-1,6.516803738E-3,5.229036324E-4,2.918800712E-1,9.564325809E-1,1.792532240E2,3.394081487E1,1.606579278E-1,1.792682518E2
7.361998620E-1,7.129530692E-3,1.359864720E-3,2.914241850E-1,9.565663934E-1,1.791830090E2,3.388675539E1,8.902814098E-2,1.791730585E2
7.411998620E-1,6.576837737E-3,1.743768342E-3,2.910269201E-1,9.566906691E-1,1.792463445E2,3.383950785E1,2.816545226E-2,1.792208126E2
7.461998620E-1,7.247183049E-3,2.334485762E-3,2.907418013E-1,9.567712545E-1,1.791695267E2,3.380586331E1,-1.449695736E-2,1.791276232E2
7.511998620E-1,6.429071145E-3,2.282754052E-3,2.906243205E-1,9.568129182E-1,1.792632776E2,3.379173033E1,-3.617932308E-2,1.792190523E2
7.561998620E-1,6.770728612E-3,2.438999247E-3,2.906559110E-1,9.568005800E-1,1.792241257E2,3.379565970E1,-4.190425771E-2,1.791763851E2
7.611998620E-1,5.610744045E-3,2.053437755E-3,2.907867730E-1,9.567692280E-1,1.793570527E2,3.381097903E1,-3.817456500E-2,1.793164106E2
7.661998620E-1,5.577471503E-3,1.994708087E-3,2.909585834E-1,9.567173123E-1,1.793608655E2,3.383151244E1,-3.272260155E-2,1.793220099E2
7.711998620E-1,4.289330533E-3,1.593789784E-3,2.911386490E-1,9.566699266E-1,1.795084774E2,3.385278467E1,-3.162049490E-2,1.794765971E2
7.761998620E-1,4.057011825E-3,1.544475555E-3,2.913073003E-1,9.566196799E-1,1.795350994E2,3.387295233E1,-3.387768424E-2,1.795037052E2
7.811998620E-1,2.709187665E-3,1.197005389E-3,2.914476693E-1,9.565821886E-1,1.796895496E2,3.388956443E1,-4.073129858E-2,1.796630501E2
7.861998620E-1,2.369145176E-3,1.172829303E-3,2.915972173E-1,9.565375447E-1,1.797285157E2,3.390745751E1,-4.939115918E-2,1.797011243E2
7.911998620E-1,1.041570803E-3,8.882656111E-4,2.917328477E-1,9.564988613E-1,1.798806448E2,3.392356646E1,-6.254003213E-2,1.798561418E2
7.961998620E-1,7.479668758E-4,9.820224950E-4,2.918250859E-1,9.564709067E-1,1.799142893E2,3.393461520E1,-8.262059408E-2,1.798851805E2
8.011998620E-1,4.386236351E-4,-7.455566665E-4,-2.918854058E-1,-9.564529061E-1,1.799497374E2,3.394172619E1,-9.638503152E-2,-1.799768633E2
8.061998620E-1,5.663776704E-4,-7.554359036E-4,-2.919043005E-1,-9.564470649E-1,1.799350979E2,3.394397923E1,-1.017416050E-1,-1.799631937E2
8.111998620E-1,1.758831258E-3,-4.374354903E-4,-2.918785214E-1,-9.564536810E-1,1.797984527E2,3.394079921E1,-1.067709591E-1,-1.798218597E2
8.161998620E-1,1.937984749E-3,-3.986023366E-4,-2.917961776E-1,-9.564784765E-1,1.797779232E2,3.393092234E1,-1.084897491E-1,-1.798009159E2
8.211998620E-1,2.965686558E-3,-1.296693808E-4,-2.916132510E-1,-9.565317035E-1,1.796601569E2,3.390896418E1,-1.133158131E-1,-1.796792605E2
8.261998620E-1,3.095191181E-3,-1.942592644E-4,-2.913278341E-1,-9.566182494E-1,1.796453167E2,3.387474236E1,-1.246238389E-1,-1.796671864E2
8.311998620E-1,3.926628673E-3,-1.284738973E-4,-2.909355164E-1,-9.567345977E-1,1.795500403E2,3.382767427E1,-1.449941336E-1,-1.795737870E2
8.361998620E-1,3.930131967E-3,-3.869745997E-4,-2.904443741E-1,-9.568837285E-1,1.795496389E2,3.376876304E1,-1.732368513E-1,-1.795819317E2
8.411998620E-1,4.547218943E-3,-4.974282347E-4,-2.898723781E-1,-9.570543766E-1,1.794789253E2,3.370012928E1,-2.055982143E-1,-1.795178191E2
8.461998620E-1,4.349624687E-3,-8.709009853E-4,-2.892345786E-1,-9.572479725E-1,1.795015682E2,3.362367683E1,-2.396953085E-1,-1.795517351E2
8.511998620E-1,4.846025494E-3,-1.032928471E-3,-2.885539830E-1,-9.574508071E-1,1.794446842E2,3.354204590E1,-2.735675488E-1,-1.795024573E2
8.561998620E-1,4.467092596E-3,-1.421611058E-3,-2.878435254E-1,-9.576659799E-1,1.794881072E2,3.345699479E1,-3.033541772E-1,-1.795566597E2
8.611998620E-1,4.766886809E-3,-1.554792630E-3,-2.871503830E-1,-9.578723907E-1,1.794537529E2,3.337394309E1,-3.275166412E-1,-1.795279144E2
8.661998620E-1,4.283924230E-3,-1.847458654E-3,-2.864993215E-1,-9.580690861E-1,1.795090969E2,3.329612716E1,-3.434712801E-1,-1.795903244E2
8.711998620E-1,4.428518663E-3,-1.885112375E-3,-2.859443724E-1,-9.582341313E-1,1.794925275E2,3.322970470E1,-3.521064402E-1,-1.795754813E2
8.761998620E-1,4.077485145E-3,-2.036787570E-3,-2.854851484E-1,-9.583722949E-1,1.795327533E2,3.317486762E1,-3.570767403E-1,-1.796188266E2
8.811998620E-1,3.784795939E-3,-2.230163198E-3,-2.850978673E-1,-9.584883451E-1,1.795662933E2,3.312862339E1,-3.686003506E-1,-1.796571480E2
8.861998620E-1,3.556323587E-3,-2.506123623E-3,-2.847656608E-1,-9.585872889E-1,1.795924745E2,3.308895036E1,-3.913397583E-1,-1.796911225E2
8.911998620E-1,3.345034345E-3,-2.817526925E-3,-2.844786346E-1,-9.586724043E-1,1.796166866E2,3.305469160E1,-4.185695737E-1,-1.797243684E2
8.961998620E-1,3.162424715E-3,-3.122554859E-3,-2.842162848E-1,-9.587498903E-1,1.796376122E2,3.302339459E1,-4.460592234E-1,-1.797542510E2
9.011998620E-1,2.957894710E-3,-3.377156565E-3,-2.839933038E-1,-9.588157535E-1,1.796610497E2,3.299683067E1,-4.673202399E-1,-1.797849056E2
9.061998620E-1,2.888102288E-3,-3.469701158E-3,-2.838995159E-1,-9.588434100E-1,1.796690474E2,3.298565504E1,-4.751972693E-1,-1.797955393E2
9.111998620E-1,2.934513069E-3,-3.496326739E-3,-2.838584483E-1,-9.588553309E-1,1.796637291E2,3.298072910E1,-4.796237427E-1,-1.797912853E2
9.161998620E-1,3.028351252E-3,-3.587324172E-3,-2.838148475E-1,-9.588676095E-1,1.796529760E2,3.297548342E1,-4.926649773E-1,-1.797839117E2
9.211998620E-1,3.082619556E-3,-3.786830697E-3,-2.837437987E-1,-9.588876963E-1,1.796467573E2,3.296698081E1,-5.163358752E-1,-1.797843986E2
9.261998620E-1,3.088225753E-3,-4.105409142E-3,-2.836488485E-1,-9.589144588E-1,1.796461148E2,3.295565763E1,-5.515042135E-1,-1.797940862E2
9.311998620E-1,3.097199749E-3,-4.443628248E-3,-2.835380435E-1,-9.589456916E-1,1.796450865E2,3.294245025E1,-5.889390345E-1,-1.798040252E2
9.361998620E-1,3.174667018E-3,-4.649594426E-3,-2.833963633E-1,-9.589863420E-1,1.796362093E2,3.292550692E1,-6.140605523E-1,-1.798021134E2
9.411998620E-1,3.247028534E-3,-4.845152143E-3,-2.831771672E-1,-9.590498805E-1,1.796279173E2,3.289930400E1,-6.378557969E-1,-1.798003658E2
