Time (s),Illuminance (lx),Location
66.40809734,160.4625092,Costa Coffee (Evening)
66.60810963,131.1625061,Costa Coffee (Evening)
66.80809239,107.4875031,Costa Coffee (Evening)
67.00810874,106.7874985,Costa Coffee (Evening)
67.20808864,125.0750046,Costa Coffee (Evening)
67.40810176,128.2624969,Costa Coffee (Evening)
67.60808385,125.9749985,Costa Coffee (Evening)
67.80809442,124.5750046,Costa Coffee (Evening)
68.00807984,96.875,Costa Coffee (Evening)
68.2080963,97.72499847,Costa Coffee (Evening)
68.40807562,109.3875046,Costa Coffee (Evening)
68.60809161,116.7125015,Costa Coffee (Evening)
68.80807161,123.3875046,Costa Coffee (Evening)
69.00808994,127.625,Costa Coffee (Evening)
69.20806739,131.6125031,Costa Coffee (Evening)
69.40808447,130.1125031,Costa Coffee (Evening)
69.60806473,133.4499969,Costa Coffee (Evening)
69.80807359,133.6999969,Costa Coffee (Evening)
70.00805994,135.3874969,Costa Coffee (Evening)
70.20807187,132.8500061,Costa Coffee (Evening)
70.40805593,131.8500061,Costa Coffee (Evening)
70.60806541,133.1999969,Costa Coffee (Evening)
70.80805203,132.6000061,Costa Coffee (Evening)
71.00806426,136.1374969,Costa Coffee (Evening)
71.20804671,133.75,Costa Coffee (Evening)
71.40806114,131.2624969,Costa Coffee (Evening)
71.60804765,118.5,Costa Coffee (Evening)
71.80806025,107.7375031,Costa Coffee (Evening)
72.00805406,119.8499985,Costa Coffee (Evening)
72.20805822,143.6625061,Costa Coffee (Evening)
72.40804906,153.2375031,Costa Coffee (Evening)
72.608049,154.5250092,Costa Coffee (Evening)
72.80803656,133.9499969,Costa Coffee (Evening)
73.00804619,139.875,Costa Coffee (Evening)
73.20805739,116.9500046,Costa Coffee (Evening)
73.40804135,114.6125031,Costa Coffee (Evening)
73.60807135,111.625,Costa Coffee (Evening)
73.80801874,103.2000046,Costa Coffee (Evening)
74.00803963,109.9749985,Costa Coffee (Evening)
74.20803166,133.25,Costa Coffee (Evening)
74.40802916,141.875,Costa Coffee (Evening)
74.60802452,151.4375,Costa Coffee (Evening)
74.80802421,158.2125092,Costa Coffee (Evening)
75.00800755,162.5500031,Costa Coffee (Evening)
75.20802098,158.4625092,Costa Coffee (Evening)
75.40800328,152.0875092,Costa Coffee (Evening)
75.60801692,140.125,Costa Coffee (Evening)
75.80799937,142.9625092,Costa Coffee (Evening)
76.00801729,158.9625092,Costa Coffee (Evening)
76.20799614,165.5375061,Costa Coffee (Evening)
76.40800963,159.5124969,Costa Coffee (Evening)
76.60799135,156.8249969,Costa Coffee (Evening)
76.80800479,148.25,Costa Coffee (Evening)
77.00798624,134.5,Costa Coffee (Evening)
77.20800148,110.7750015,Costa Coffee (Evening)
77.40798216,110.625,Costa Coffee (Evening)
77.60797992,120.6875,Costa Coffee (Evening)
77.80797924,119.6500015,Costa Coffee (Evening)
78.00799054,109.2874985,Costa Coffee (Evening)
78.2079833,111.7249985,Costa Coffee (Evening)
78.40799122,112.9250031,Costa Coffee (Evening)
78.60797591,149.8500061,Costa Coffee (Evening)
78.80798497,137.2375031,Costa Coffee (Evening)
79.00798164,124.5750046,Costa Coffee (Evening)
79.2079831,109.7249985,Costa Coffee (Evening)
79.40796284,86.91249847,Costa Coffee (Evening)
79.60798091,71.86250305,Costa Coffee (Evening)
79.80796153,52.67499924,Costa Coffee (Evening)
80.00797153,39.26250076,Costa Coffee (Evening)
80.20795591,43.29999924,Costa Coffee (Evening)
80.40797205,43.54999924,Costa Coffee (Evening)
80.60795195,43.20000076,Costa Coffee (Evening)
80.80796622,38.375,Costa Coffee (Evening)
81.00794758,36.22500229,Costa Coffee (Evening)
81.20796112,37.02500153,Costa Coffee (Evening)
81.40794357,36.67499924,Costa Coffee (Evening)
81.60795336,36.82500076,Costa Coffee (Evening)
81.80793851,41.66250229,Costa Coffee (Evening)
82.00795882,59.10000229,Costa Coffee (Evening)
82.20793513,85.01250458,Costa Coffee (Evening)
82.40795018,95.375,Costa Coffee (Evening)
82.6079319,150.8375092,Costa Coffee (Evening)
82.80794607,136.1875,Costa Coffee (Evening)
83.00792747,104.5999985,Costa Coffee (Evening)
83.20794502,125.5250015,Costa Coffee (Evening)
83.40792226,143.0625,Costa Coffee (Evening)
83.60793653,118.5999985,Costa Coffee (Evening)
83.80792008,119.3499985,Costa Coffee (Evening)
84.00793247,109.7750015,Costa Coffee (Evening)
84.20791424,104.0500031,Costa Coffee (Evening)
84.40793169,97.97499847,Costa Coffee (Evening)
84.60790961,105.7874985,Costa Coffee (Evening)
84.80792492,106.6375046,Costa Coffee (Evening)
85.00791851,112.2750015,Costa Coffee (Evening)
85.20791961,122.7874985,Costa Coffee (Evening)
85.40791336,120.0500031,Costa Coffee (Evening)
85.60791752,116.4625015,Costa Coffee (Evening)
85.80789856,117.8000031,Costa Coffee (Evening)
86.00791278,121.7874985,Costa Coffee (Evening)
86.2079145,132.0500031,Costa Coffee (Evening)
86.40790929,160.5124969,Costa Coffee (Evening)
86.60793898,175.8625031,Costa Coffee (Evening)
86.80790325,199.2250061,Costa Coffee (Evening)
87.00791606,208.9000092,Costa Coffee (Evening)
87.20790367,226.5375061,Costa Coffee (Evening)
87.40789726,244.8249969,Costa Coffee (Evening)
87.60788054,245.125,Costa Coffee (Evening)
87.8078983,114.6624985,Costa Coffee (Evening)
88.00787528,120.3000031,Costa Coffee (Evening)
88.20788726,114.1624985,Costa Coffee (Evening)
88.40788815,111.375,Costa Coffee (Evening)
88.60788778,108.1875,Costa Coffee (Evening)
88.80786664,114.0625,Costa Coffee (Evening)
89.00788487,248.6125031,Costa Coffee (Evening)
89.20786216,245.125,Costa Coffee (Evening)
89.40788028,240.1374969,Costa Coffee (Evening)
89.60785914,135.0500031,Costa Coffee (Evening)
89.8078731,109.5250015,Costa Coffee (Evening)
90.00785325,131.2125092,Costa Coffee (Evening)
90.20787205,236.1999969,Costa Coffee (Evening)
90.40785086,236.5,Costa Coffee (Evening)
90.60786919,238.9499969,Costa Coffee (Evening)
90.80784685,240.3375092,Costa Coffee (Evening)
91.00786148,242.3375092,Costa Coffee (Evening)
91.20784377,243.0250092,Costa Coffee (Evening)
91.40785987,241.9375,Costa Coffee (Evening)
91.60784685,238.6999969,Costa Coffee (Evening)
91.80785169,236.4499969,Costa Coffee (Evening)
92.00783554,234.9125061,Costa Coffee (Evening)
92.20784763,260.7749939,Costa Coffee (Evening)
92.40783341,263.2625122,Costa Coffee (Evening)
92.60784148,257.5874939,Costa Coffee (Evening)
92.80782773,214.6750031,Costa Coffee (Evening)
93.00784065,196.5375061,Costa Coffee (Evening)
93.20782601,173.6125031,Costa Coffee (Evening)
93.40783216,126.5750046,Costa Coffee (Evening)
93.60781898,196.4375,Costa Coffee (Evening)
93.80783315,157.1750031,Costa Coffee (Evening)
94.00781669,196.3874969,Costa Coffee (Evening)
94.20782919,219.3125,Costa Coffee (Evening)
94.4078119,222.75,Costa Coffee (Evening)
94.60782784,211.3375092,Costa Coffee (Evening)
94.80780763,226.0875092,Costa Coffee (Evening)
95.00782455,236.1500092,Costa Coffee (Evening)
95.20780205,239.1500092,Costa Coffee (Evening)
95.4078144,241.0375061,Costa Coffee (Evening)
95.60779862,242.2875061,Costa Coffee (Evening)
95.80781424,243.625,Costa Coffee (Evening)
96.00779482,243.4250031,Costa Coffee (Evening)
96.20781013,243.875,Costa Coffee (Evening)
96.40779159,238.6000061,Costa Coffee (Evening)
96.60780096,240.3874969,Costa Coffee (Evening)
96.80778643,243.5749969,Costa Coffee (Evening)
97.0077982,245.3249969,Costa Coffee (Evening)
97.20778289,245.2750092,Costa Coffee (Evening)
97.40779362,241.1374969,Costa Coffee (Evening)
97.60777711,224.7375031,Costa Coffee (Evening)
97.80778773,227.0375061,Costa Coffee (Evening)
98.00778773,229.7250061,Costa Coffee (Evening)
98.20779174,234.0124969,Costa Coffee (Evening)
98.40777883,234.3125,Costa Coffee (Evening)
98.60778534,236.9000092,Costa Coffee (Evening)
98.80777028,239.4875031,Costa Coffee (Evening)
99.00778216,241.2375031,Costa Coffee (Evening)
99.20779607,243.9750061,Costa Coffee (Evening)
99.40777726,243.7750092,Costa Coffee (Evening)
99.60777643,241.8375092,Costa Coffee (Evening)
99.80777289,241.3375092,Costa Coffee (Evening)
100.0077721,242.4875031,Costa Coffee (Evening)
100.207766,244.0250092,Costa Coffee (Evening)
100.4077678,243.375,Costa Coffee (Evening)
100.6077645,242.0375061,Costa Coffee (Evening)
100.8077636,241.6875,Costa Coffee (Evening)
101.0077581,241.1875,Costa Coffee (Evening)
101.2077565,240.1374969,Costa Coffee (Evening)
101.4077384,239.5875092,Costa Coffee (Evening)
101.6077572,239.5375061,Costa Coffee (Evening)
101.8077343,240.0875092,Costa Coffee (Evening)
102.0077461,242.8375092,Costa Coffee (Evening)
102.2077302,247.1125031,Costa Coffee (Evening)
102.4077467,242.7375031,Costa Coffee (Evening)
102.6077272,240.3375092,Costa Coffee (Evening)
102.8077457,237.6500092,Costa Coffee (Evening)
103.0077223,237.8000031,Costa Coffee (Evening)
103.2077363,238.6000061,Costa Coffee (Evening)
103.407723,234.4625092,Costa Coffee (Evening)
103.6077301,222.1000061,Costa Coffee (Evening)
103.8077189,214.0749969,Costa Coffee (Evening)
104.0077288,214.0250092,Costa Coffee (Evening)
104.2077081,197.5375061,Costa Coffee (Evening)
104.4077282,197.0375061,Costa Coffee (Evening)
104.6077099,198.0875092,Costa Coffee (Evening)
