"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.559121000E-1,4.434159771E-2,-5.379581451E-2,-2.141179889E-1
6.579222560E-1,4.540686309E-2,-5.912213027E-2,-2.162485123E-1
6.599324120E-1,4.753739014E-2,-6.338318437E-2,-2.151832581E-1
6.619425680E-1,4.753739014E-2,-6.870950758E-2,-2.162485123E-1
6.639527250E-1,5.286370963E-2,-7.190529257E-2,-2.162485123E-1
6.659628810E-1,5.286370963E-2,-7.936213911E-2,-2.151832581E-1
6.679730370E-1,5.925529078E-2,-8.894951642E-2,-2.130527347E-1
6.699831930E-1,6.458161026E-2,-9.960214794E-2,-2.098569423E-1
6.719934020E-1,6.990792602E-2,-1.155811027E-1,-2.109221965E-1
6.740036100E-1,7.523424178E-2,-1.358211190E-1,-2.087916732E-1
6.760138180E-1,8.269108832E-2,-1.571263820E-1,-2.098569423E-1
6.780240270E-1,8.801741153E-2,-1.773663908E-1,-2.098569423E-1
6.800342350E-1,9.547425061E-2,-2.029327303E-1,-2.119874656E-1
6.820444430E-1,1.029310971E-1,-2.306295782E-1,-2.119874656E-1
6.840546520E-1,1.071921512E-1,-2.604569495E-1,-2.109221965E-1
6.860648600E-1,1.103879437E-1,-2.892190814E-1,-2.130527347E-1
6.880750680E-1,1.157142594E-1,-3.158506751E-1,-2.109221965E-1
6.900852770E-1,1.199753210E-1,-3.403517306E-1,-2.087916732E-1
6.920954850E-1,1.253016293E-1,-3.605917394E-1,-2.087916732E-1
6.941056930E-1,1.295626909E-1,-3.776359558E-1,-2.087916732E-1
6.961159020E-1,1.338237375E-1,-3.914843798E-1,-2.119874656E-1
6.981261100E-1,1.380847991E-1,-4.063980877E-1,-2.151832581E-1
7.001363180E-1,1.402153224E-1,-4.170507193E-1,-2.205095738E-1
7.021465270E-1,1.391500682E-1,-4.277033508E-1,-2.247706354E-1
7.041567350E-1,1.391500682E-1,-4.330296814E-1,-2.290316820E-1
7.061669430E-1,1.359542757E-1,-4.362254739E-1,-2.364885211E-1
7.081771520E-1,1.295626909E-1,-4.447475672E-1,-2.450106442E-1
7.101873600E-1,1.199753210E-1,-4.490086138E-1,-2.514022291E-1
7.121975680E-1,1.061268896E-1,-4.511391521E-1,-2.577938139E-1
7.142077770E-1,9.014793485E-2,-4.575307369E-1,-2.684464455E-1
7.162179850E-1,7.203845680E-2,-4.564654827E-1,-2.759032845E-1
7.182281930E-1,5.073318258E-2,-4.543349445E-1,-2.844253778E-1
7.202384020E-1,2.729738131E-2,-4.500738978E-1,-2.918822467E-1
7.222486100E-1,-1.464737463E-3,-4.458128214E-1,-2.982738316E-1
7.242588180E-1,-2.703106403E-2,-4.362254739E-1,-3.036001325E-1
7.262690270E-1,-5.898897350E-2,-4.287686050E-1,-3.067959249E-1
7.282792350E-1,-8.881635964E-2,-4.181159735E-1,-3.142527640E-1
7.302894430E-1,-1.207742617E-1,-4.021370113E-1,-3.238401413E-1
7.322996520E-1,-1.516669095E-1,-3.829622865E-1,-3.323622644E-1
7.343098600E-1,-1.814942956E-1,-3.595264852E-1,-3.419496417E-1
7.363200680E-1,-2.134522051E-1,-3.339601457E-1,-3.526022732E-1
7.383302770E-1,-2.422143221E-1,-3.073285520E-1,-3.600591123E-1
7.403404850E-1,-2.688459158E-1,-2.806969583E-1,-3.675159514E-1
7.423506930E-1,-2.933469713E-1,-2.572611570E-1,-3.739075363E-1
7.443609020E-1,-3.167827725E-1,-2.327601016E-1,-3.813643754E-1
7.463711100E-1,-3.327617347E-1,-2.093243003E-1,-3.824296594E-1
7.483813180E-1,-3.487406969E-1,-1.880190372E-1,-3.877559602E-1
7.503915270E-1,-3.593933284E-1,-1.624527127E-1,-4.026696682E-1
7.524017350E-1,-3.647196293E-1,-1.422126889E-1,-4.154528081E-1
7.544118910E-1,-3.700459599E-1,-1.219726875E-1,-4.229096770E-1
7.564220480E-1,-3.721764982E-1,-9.960214794E-2,-4.293012619E-1
7.584322040E-1,-3.721764982E-1,-7.829687744E-2,-4.346275628E-1
7.604423600E-1,-3.700459599E-1,-6.018739566E-2,-4.346275628E-1
7.624525160E-1,-3.711112142E-1,-4.207791388E-2,-4.410191476E-1
7.644626730E-1,-3.732417524E-1,-9.054740891E-3,-4.601939023E-1
7.664728290E-1,-3.721764982E-1,2.290316857E-2,-4.878907502E-1
7.684829850E-1,-3.721764982E-1,5.379581451E-2,-5.070654750E-1
7.704931410E-1,-3.721764982E-1,8.042740822E-2,-5.187833905E-1
7.725032980E-1,-3.689807057E-1,1.038632020E-1,-5.187833905E-1
7.745134540E-1,-3.636543751E-1,1.219726875E-1,-5.166528821E-1
7.765236100E-1,-3.572627902E-1,1.272990108E-1,-5.070654750E-1
